id,split,training_eligible,exclusion_reason,source,source_id,category,input_text,target_text,part_of_speech,variants,quality_status
wiktionary-00638,test,true,,wiktionary,638,lexicon,гокӏын,to go away from the side of something,verb,гокӏын,accepted
wiktionary-00639,test,true,,wiktionary,639,lexicon,гомыхь,terrible,adj,гомыхь,accepted
wiktionary-00640,train,true,,wiktionary,640,lexicon,гонахь гъэхъэн,to sin,verb,гонахь гъэхъэн,accepted
wiktionary-00641,test,true,,wiktionary,641,lexicon,гонэхь,misdeed ; sin,noun,гонэхь | гонэхьэхэкӏэ | гонэхьэхэм | гунахьэм | гунахьэкӏэ | гунахьэхэ | гонэхьэ | гунахьэхэм | гонэхьыу | гунахьэхэкӏэ | гунахьэхэр | гонэхьэм | гонэхьэхыу | гонэхьэхэмэ | гунахьэр | гунахьэхыу | гонэхьэкӏэ | гунахь | гонэхьэхэ | гонэхьэхэр | гунахьыу | гонэхьэр | гунахьэхэмэ | гунахьэ,accepted
wiktionary-00642,train,true,,wiktionary,642,lexicon,гоон,"to bear a grudge against, to spite",verb,гоон,accepted
wiktionary-00643,train,true,,wiktionary,643,lexicon,гопкӏэн,to jump on the side of,verb,гопкӏэн,accepted
wiktionary-00644,train,true,,wiktionary,644,lexicon,гопэгъу,"stuffily (in a poorly-ventilated and close manner) ; sultriness, closeness, stuffiness, sultry / stuffy air",noun,гопэгъу | гопэгъуэхэм | гопэгъуэм | гопэгъуэхэкӏэ | гопэгъуэкӏэ | гопэгъуэхэ | гопэгъуыу | гопэгъуэр | гопэгъуэ | гопэгъухыу | гопэгъуэхэмэ | гопэгъуэхэр,accepted
wiktionary-00645,train,true,,wiktionary,645,lexicon,гопэн,"to be pleased with, to be glad that",verb,гопэн | ыгупэн | гупэн,accepted
wiktionary-00646,train,true,,wiktionary,646,lexicon,гоутын,to cleave ; to tear apart from something,verb,гоутын,accepted
wiktionary-00647,train,true,,wiktionary,647,lexicon,гоуцон,"to stand besides, to stand on the side of ; to stop besides, to stop on the side of",verb,гоуцон,accepted
wiktionary-00648,excluded_benchmark_overlap,false,exact_normalized_input_target_or_variant_overlap_with_benchmark,wiktionary,648,lexicon,гохьан,to go beside,verb,гохьан | жэхэхьан | зэбгырыхьан | пыхьан | кӏоцӏы | шъхьапырыхьан | ӏу | шъхьадэхьан | хэхьан | кӏоцӏыхьан | лъы | и | кӏэлъыры | пэхьан | бгъодэ | техьан | кӏэлъырыхьан | бгъодэхьан | шъхьадэ | хэ | зэбгыры | те | ӏухьан | чӏэ | дэ | къохьан | го | шъхьапыры | пы | зэкӏэ | чӏэхьан | жэхэ | жэдэ | ихьан | жэдэхьан | лъыхьан | къо | джыхэхьэн | дэхьан | зэкӏэхьан,accepted
wiktionary-00649,train,true,,wiktionary,649,lexicon,гохьы,"tasty (having a pleasant flavor) ; pleasant, charming ; lovely person, likable person",adj,гохьы,accepted
wiktionary-00650,train,true,,wiktionary,650,lexicon,гощын,to distribute ; to divide ; to split,verb,гощын | угощын,accepted
wiktionary-00651,train,true,,wiktionary,651,lexicon,гоӏу,"attractive ; pleasant, nice, cute",adj,гоӏу,accepted
wiktionary-00652,validation,true,,wiktionary,652,lexicon,гоӏулӏэн,to nail down something (to attach with a nail) on the side ; to sweep something on the side,verb,гоӏулӏэн,accepted
wiktionary-00653,train,true,,wiktionary,653,lexicon,гу,heart ; The fifth letter of the Adyghe alphabet,noun | character,гу | гуэхэкӏэ | гуэхэр | гуэ | гуэхэмэ | гуэхэм | гухыу | гуэкӏэ | гуыу | Гъ | гуэр | гуэм | гуэхэ,accepted
wiktionary-00654,train,true,,wiktionary,654,lexicon,гу къеон,one's heart to beat; to be having heartbeats ; to be anxious ; to get very scared,verb,гу къеон,accepted
wiktionary-00655,train,true,,wiktionary,655,lexicon,гу рихьан,to like,verb,гу рихьан | гурихьан | гурихьэн | гу рихьэн | гум рихьан,accepted
wiktionary-00656,train,true,,wiktionary,656,lexicon,гу тепсэфэн,to in peace due to,verb,гу тепсэфэн | гу тэпсэфэн,accepted
wiktionary-00657,train,true,,wiktionary,657,lexicon,гуадз,"secondary, minor, of less importance ; additional, supplementary",noun,гуадз | гуадзэхэ | гуадзэхэкӏэ | гуадзэхэм | гуадзэхэмэ | гуадзэхэр | гуадзэм | гуадзэ | гуадзэкӏэ | гуадзэхыу | гуадзыу | гуадзэр,accepted
wiktionary-00658,validation,true,,wiktionary,658,lexicon,гуао,misery,noun,гуао,accepted
wiktionary-00659,test,true,,wiktionary,659,lexicon,гуапэ,pleasant,noun,гуапэ | гуапэм | гуапэу | гуапэр | гуапэхэмэ | гуапэкӏэ | гуапэхэкӏэ | гуапэхэр | гуапэхэм | гуапэхэ | гуапэхыу,accepted
wiktionary-00660,train,true,,wiktionary,660,lexicon,гуащэ,lady ; a woman's mother-in-law: her husband's mother ; princess ; (Kfar Kama dialect) wife,noun,гуащэ | гуащэхэмэ | гуащэхэкӏэ | гуащэу | гуащэкӏэ | гуащэхэм | гуащэм | гуащэхэ | гуащэр | гуащэхыу | гуащэхэр,accepted
wiktionary-00661,train,true,,wiktionary,661,lexicon,губгъо,wild ; field,adj | noun,губгъо | губгъохэм | губгъохыу | губгъокӏэ | губгъохэ | губгъом | губгъохэмэ | губгъохэкӏэ | губгъохэр | губгъоу | губгъор,accepted
wiktionary-00662,train,true,,wiktionary,662,lexicon,губгъэ,chest,noun,губгъэ | губгъэхыу | губгъэм | губгъэхэкӏэ | губгъэр | губгъэкӏэ | губгъэхэр | губгъэхэмэ | губгъэхэм | губгъэу | губгъэхэ,accepted
wiktionary-00663,train,true,,wiktionary,663,lexicon,губгъэн,vulgarity,noun,губгъэн | губгъэнэм | губгъэнэхэмэ | губгъэнэхэм | губгъэнэкӏэ | губгъэнэхыу | губгъэнэхэкӏэ | губгъэнэ | губгъэнэр | губгъэнэхэр | губгъэныу | губгъэнэхэ,accepted
wiktionary-00664,train,true,,wiktionary,664,lexicon,губгъэн фэлъэгъун,to hold a grudge against,verb,губгъэн фэлъэгъун,accepted
wiktionary-00665,validation,true,,wiktionary,665,lexicon,губгъэн фэшӏын,to hold a grudge against,verb,губгъэн фэшӏын,accepted
wiktionary-00666,train,true,,wiktionary,666,lexicon,губж,anger,noun,губж,accepted
wiktionary-00667,validation,true,,wiktionary,667,lexicon,губжыгъошӏу,"hot-tempered, quick-tempered, irascible",adj,губжыгъошӏу,accepted
wiktionary-00668,train,true,,wiktionary,668,lexicon,губжын,"to get angry, to get mad",verb,губжын | къышъогубжэх | огубжы | шъогубжы | сызэгубжэжьы | шъукъытэгубжэ | къыогубжэх | шъутэгубжэ | къышъогубжэ | укъытэгубжэ | утэгубжэ | сагубжэ | шъукъысэгубжэ | уагубжэ | тагубжэ | къысэгубжэх | усэгубжэ | къыогубжэ | сэгубжы | уегубжэ | агубжэ | къысэгубжэ | егубжэх | егубжэ | шъусэгубжэ | шъуагубжэ | тэгубжы | укъысэгубжэ | шъуегубжэ | узэгубжэжьы | къытэгубжэ | тегубжэ | сегубжэ | магубжы | къытэгубжэх | тызэгубжэжьы | агубжэх | шъузэгубжэжьы | мэгубжын | магубжых,accepted
wiktionary-00669,train,true,,wiktionary,669,lexicon,губжыпх,"hot-tempered, quick-tempered, irascible",adj,губжыпх,accepted
wiktionary-00670,train,true,,wiktionary,670,lexicon,губзыгъ,clever,adj,губзыгъ | губзыгъм | губзыгъхэм | губзыгъхэкӏэ | губзыгъкӏэ | губзыгъхыу | губзыгъу | губзыгър | губзыгъхэмэ | губзыгъхэр,accepted
wiktionary-00671,train,true,,wiktionary,671,lexicon,губчъо,field,noun,губчъо | губчъом | губчъохэм | губчъохэ | губчъохэмэ | губчъохэкӏэ | губчъохэр | губчъоу | губчъохыу | губчъор | губчъокӏэ,accepted
wiktionary-00672,test,true,,wiktionary,672,lexicon,гугъу,difficult,adj,гугъу,accepted
wiktionary-00673,train,true,,wiktionary,673,lexicon,гугъуемылӏ,careless,adj,гугъуемылӏ,accepted
wiktionary-00674,train,true,,wiktionary,674,lexicon,гугъэ,hope,noun,гугъэ,accepted
wiktionary-00675,validation,true,,wiktionary,675,lexicon,гугъэн,"to hope for ; to rely on, to count on ; to strip, to peel, to skin, to flay, to flense",verb,гугъэн | гугъун | гугъон | гугъын,accepted
wiktionary-00676,train,true,,wiktionary,676,lexicon,гудэ,vulva,noun,гудэ | гудэр | гудэхэр | гудэм | гудэхэм | гудэхэмэ | гудэхэкӏэ | гудэхыу | гудэкӏэ | гудэхэ | гудэу,accepted
wiktionary-00677,train,true,,wiktionary,677,lexicon,гуегъун,to feel sorry for; to feel pity for; to pity,verb,гуегъун | гур егъун | гу егъун | угу егъун | гум егъун,accepted
wiktionary-00678,validation,true,,wiktionary,678,lexicon,гуеӏун,"to like something, to be pleased with",verb,гуеӏун | гу еӏун,accepted
wiktionary-00679,train,true,,wiktionary,679,lexicon,гужъ,anger ; hatred,noun,гужъ | гужъэр | гужъэхэр | гужъэхэкӏэ | гужъэхыу | гужъэхэмэ | гужъэм | гужъыу | гужъэхэм | гужъэкӏэ | гужъэхэ | гужъэ,accepted
wiktionary-00680,train,true,,wiktionary,680,lexicon,гужъуакӏэ,Arm pit,noun,гужъуакӏэ,accepted
wiktionary-00681,train,true,,wiktionary,681,lexicon,гужъыен,"to despair, to be in despair",verb,гужъыен,accepted
wiktionary-00682,train,true,,wiktionary,682,lexicon,гузэгу,center ; middle,noun,гузэгу | ыгузэгу,accepted
wiktionary-00683,train,true,,wiktionary,683,lexicon,гузэжъогъу,urgent,noun,гузэжъогъу,accepted
wiktionary-00684,test,true,,wiktionary,684,lexicon,гузэжъон,"to be in a hurry ; to be anxious (about), to be uneasy (about)",verb,гузэжъон,accepted
wiktionary-00685,train,true,,wiktionary,685,lexicon,гузэжъопх,impatient,adj,гузэжъопх | гузэжъопхэхэ | гузэжъопхэм | гузэжъопхэхэкӏэ | гузэжъопхэхэр | гузэжъопхэхэм | гузэжъопхэр | гузэжъопхыу | гузэжъопхэ | гузэжъопхэхэмэ | гузэжъопхэкӏэ | гузэжъопхэхыу,accepted
wiktionary-00686,test,true,,wiktionary,686,lexicon,гуигъэун,"to cause to fall, to crumble ; to heap round",verb,гуигъэун,accepted
wiktionary-00687,train,true,,wiktionary,687,lexicon,гуих,"terrible, horrible, dreadful, awful ; fearful",adj,гуих,accepted
wiktionary-00688,train,true,,wiktionary,688,lexicon,гукъау,"grief, distress, sadness ; misfortune, disaster",noun,гукъау,accepted
wiktionary-00689,train,true,,wiktionary,689,lexicon,гукъэгъэкӏын,"to make someone remember something, to remind someone something",verb,гукъэгъэкӏын | гукъэгъэкӏьын,accepted
wiktionary-00690,train,true,,wiktionary,690,lexicon,гукъэкӏыжьын,to suddenly remember,verb,гукъэкӏыжьын | гукъэкӏьыжьын,accepted
wiktionary-00691,train,true,,wiktionary,691,lexicon,гукъэкӏын,to remember ; to have a sudden thought or idea,verb,гукъэкӏын | гу къэкӏын | гукъэкӏьын,accepted
wiktionary-00692,test,true,,wiktionary,692,lexicon,гукӏае,"sorrow ; demand, request",adj | noun,гукӏае,accepted
wiktionary-00693,train,true,,wiktionary,693,lexicon,гукӏэгъу,pity ; mercy,noun,гукӏэгъу | гукӏэгъуэхэ | гукӏэгъуэхэм | гукӏэгъуэкӏэ | гукӏэгъуэм | гукӏэгъуэхэр | гукӏэгъуыу | гукӏэгъуэхэмэ | гукӏэгъуэхэкӏэ | гукӏэгъуэр | гукӏэгъухыу | гукӏэгъуэ,accepted
wiktionary-00694,train,true,,wiktionary,694,lexicon,гукӏэгъу фэлъэгъун,"to feel sorry for, to feel pity for ; to have mercy upon",verb,гукӏэгъу фэлъэгъун | гукӏэгъу фэплъэгъун,accepted
wiktionary-00695,train,true,,wiktionary,695,lexicon,гулъытэ,understanding,noun,гулъытэ,accepted
wiktionary-00696,train,true,,wiktionary,696,lexicon,гулъытэн,to understand (Shapsug and Natukhai dialects) (See гурыӏон) ; to notice,verb,гулъытэн,accepted
wiktionary-00697,train,true,,wiktionary,697,lexicon,гум иубытэн,to memorize,verb,гум иубытэн,accepted
wiktionary-00698,test,true,,wiktionary,698,lexicon,гумыӏан,"restless, fidgety",adj,гумыӏан,accepted
wiktionary-00699,train,true,,wiktionary,699,lexicon,гумыӏу,unpleasant,adj,гумыӏу,accepted
wiktionary-00700,train,true,,wiktionary,700,lexicon,гумэкӏыгъу,anxiety,noun,гумэкӏыгъу,accepted
wiktionary-00701,train,true,,wiktionary,701,lexicon,гумэкӏын,"to be anxious/uneasy/worried (about), to become anxious (about)",verb,гумэкӏын,accepted
wiktionary-00702,validation,true,,wiktionary,702,lexicon,гуп,facade ; front,noun,гуп,accepted
wiktionary-00703,train,true,,wiktionary,703,lexicon,гупсэф,comfortable ; comfort,adj | noun,гупсэф,accepted
wiktionary-00704,test,true,,wiktionary,704,lexicon,гупсэфыпӏ,comfortable place,noun,гупсэфыпӏ,accepted
wiktionary-00705,train,true,,wiktionary,705,lexicon,гупцӏанэ,kindhearted ; open-hearted,adj,гупцӏанэ,accepted
wiktionary-00706,train,true,,wiktionary,706,lexicon,гупч,"middle (centre, midpoint)",noun,гупч,accepted
wiktionary-00707,test,true,,wiktionary,707,lexicon,гупшысэ,thought,noun,гупшысэ | гупшысэхэм | гупшысэм | гупшысэхэ | гупшысэхэр | гупшысэр | гупшысэхэкӏэ | гупшысэхэмэ | гупшысэкӏэ | гупшысэхыу | гупшысэу,accepted
wiktionary-00708,train,true,,wiktionary,708,lexicon,гупшысэн,"to think of, to think about",verb,гупшысэн | егупсэн | егупшысэн | гупсэн,accepted
wiktionary-00709,train,true,,wiktionary,709,lexicon,гупыкӏ тын,"charity, donation ; to give to charity; to donate",noun | verb,гупыкӏ тын,accepted
wiktionary-00710,train,true,,wiktionary,710,lexicon,гупыт,cruel ; merciless,adj,гупыт | гупытэкӏэ | гупытэхэм | гупытэхэ | гупытэм | гупытэхэмэ | гупытэхэкӏэ | гупытэхыу | гупытэ | гупытыу | гупытэхэр | гупытэр,accepted
wiktionary-00711,validation,true,,wiktionary,711,lexicon,гурыгъэӏон,to make someone understand,verb,гурыгъэӏон,accepted
wiktionary-00712,train,true,,wiktionary,712,lexicon,гурышхъу,suspicion,noun,гурышхъу | гурышхъуэхэкӏэ | гурышхъуэхэмэ | гурышхъухыу | гурышхъуэхэ | гурышхъуэм | гурышхъуэхэр | гурышхъуэ | гурышхъуэкӏэ | гурышхъуыу | гурышхъуэхэм | гурышхъуэр,accepted
wiktionary-00713,train,true,,wiktionary,713,lexicon,гурышхъу шӏын,to suspect,verb,гурышхъу шӏын,accepted
wiktionary-00714,validation,true,,wiktionary,714,lexicon,гурыӏон,to understand,verb,гурыӏон,accepted
wiktionary-00715,train,true,,wiktionary,715,lexicon,гухахъо,satisfaction ; pleasure,noun,гухахъо | гухахъокӏэ | гухахъом | гухахъоу | гухахъохэр | гухахъохэкӏэ | гухахъор | гухахъохэм | гухахъохыу | гухахъохэ | гухахъохэмэ,accepted
wiktionary-00716,test,true,,wiktionary,716,lexicon,гухэгъэкӏын,"to make someone upset, to make someone sad",verb,гухэгъэкӏын,accepted
wiktionary-00717,train,true,,wiktionary,717,lexicon,гухэкӏ,"sorrow, grief",noun,гухэкӏ,accepted
wiktionary-00718,train,true,,wiktionary,718,lexicon,гухэкӏын,to get hurt (emotionally),verb,гухэкӏын | игу хэкӏын,accepted
wiktionary-00719,validation,true,,wiktionary,719,lexicon,гуцаф,suspicion,noun,гуцаф | гуцафэр | гуцафэхэ | гуцафэхэкӏэ | гуцафэхэм | гуцафэм | гуцафыу | гуцафэ | гуцафэхыу | гуцафэхэмэ | гуцафэкӏэ | гуцафэхэр,accepted
wiktionary-00720,train,true,,wiktionary,720,lexicon,гуцафэ шӏын,to suspect,verb,гуцафэ шӏын,accepted
wiktionary-00721,train,true,,wiktionary,721,lexicon,гушхо,brave,adj,гушхо,accepted
wiktionary-00722,train,true,,wiktionary,722,lexicon,гушӏон,to rejoice ; (Kfar Kama dialect) to laugh,verb,гушӏон | мэгушӏон,accepted
wiktionary-00723,train,true,,wiktionary,723,lexicon,гушӏопсӏын,to smile,verb,гушӏопсӏын,accepted
wiktionary-00724,train,true,,wiktionary,724,lexicon,гушӏуагъо,"(Shapsug dialect) funny ; joy, happiness",adj | noun,гушӏуагъо | гушӏуагъохэкӏэ | гушӏуагъоу | гушӏуагъом | гушӏуагъэ | гушӏуагъохэм | гушӏуагъор | гушӏуагъокӏэ | гушӏуагъохэ | гушӏуагъохыу | гушӏуагъохэр | гушӏуагъохэмэ,accepted
wiktionary-00725,train,true,,wiktionary,725,lexicon,гушӏуапкӏэ,present,noun,гушӏуапкӏэ | гушӏуапкӏэхэкӏэ | гушӏуапкӏэм | гушӏуапкӏэхэмэ | гушӏуапкӏэхэм | гушӏуапкӏэр | гушӏуапкӏэхэр | гушӏуапкӏэхэ | гушӏуапкӏэкӏэ | гушӏуапкӏэу | гушӏуапкӏэхыу,accepted
wiktionary-00726,excluded_benchmark_overlap,false,exact_normalized_input_target_or_variant_overlap_with_benchmark,wiktionary,726,lexicon,гущ,"alas (Used to express sorrow, regret, compassion or grief.) ; expresses a wish",intj,гущ,accepted
wiktionary-00727,train,true,,wiktionary,727,lexicon,гущыӏал,"talkative, a person that tend to talk a lot ; loquacious",adj,гущыӏал,accepted
wiktionary-00728,train,true,,wiktionary,728,lexicon,гущыӏалъ,dictionary,noun,гущыӏалъ | гущыӏалъэм | гущыӏалъхыу | гущыӏалъэхэмэ | гущыӏалъэкӏэ | гущыӏалъэхэм | гущыӏалъыу | гущыӏалъэхэ | гущыӏалъэр | гущыӏалъэхэкӏэ | гущыӏалъэхэр | гущыӏалъэ,accepted
wiktionary-00729,train,true,,wiktionary,729,lexicon,гущыӏанчъэ,wordless ; speechless,noun,гущыӏанчъэ,accepted
wiktionary-00730,train,true,,wiktionary,730,lexicon,гущыӏап,preface,noun,гущыӏап | гущыӏапэхэмэ | гущыӏапэхэм | гущыӏапэ | гущыӏапэхэкӏэ | гущыӏапэхыу | гущыӏапэм | гущыӏапэхэр | гущыӏапэкӏэ | гущыӏапэхэ | гущыӏапэр | гущыӏапыу,accepted
wiktionary-00731,train,true,,wiktionary,731,lexicon,гущыӏэ,word,noun,гущыӏэ | гущыӏэхэ | гущыӏэкӏэ | гущыӏэм | гущаӏэм | гущыӏэу | гущаӏэу | гущаӏэхэм | гущаӏэкӏэ | гущыӏэхэкӏэ | гущыӏэхэм | гущаӏэ | гущаӏэхыу | гущаӏэр | гущаӏэхэкӏэ | гущыӏэхэр | гущаӏэхэр | гущаӏэхэмэ | гущыӏэр | гущыӏэхыу | гущыӏэхэмэ | гущаӏэхэ,accepted
wiktionary-00732,train,true,,wiktionary,732,lexicon,гущыӏэ етын,to promise; to give one's word,verb,гущыӏэ етын | гущыӏэ тын | гущыӏэ ептын,accepted
wiktionary-00733,train,true,,wiktionary,733,lexicon,гущыӏэгъал,talkative ; eloquent ; talking in an ornate way ; Ornate talker,adj | noun,гущыӏэгъал | гущыӏэгъалэхыу | гущыӏэгъалэкӏэ | гущыӏэгъалэхэкӏэ | гущыӏэгъалэм | гущыӏэгъалэхэр | гущыӏэгъалэхэ | гущыӏэгъалэхэм | гущыӏэгъалыу | гущыӏэгъалэр | гущыӏэгъалэ | гущыӏэгъалэхэмэ,accepted
wiktionary-00734,test,true,,wiktionary,734,lexicon,гущыӏэгъу,"interlocutor, talking partner ; time for conversation; time for talk",noun,гущыӏэгъу,accepted
wiktionary-00735,train,true,,wiktionary,735,lexicon,гущыӏэм пае,for example,prep_phrase,гущыӏэм пае | гущыӏэмпае,accepted
wiktionary-00736,train,true,,wiktionary,736,lexicon,гущыӏэм фаӏоу,for example,prep_phrase,гущыӏэм фаӏоу,accepted
wiktionary-00737,train,true,,wiktionary,737,lexicon,гущыӏэн,to talk,verb,гущыӏэн | мэгущыӏэн,accepted
wiktionary-00738,train,true,,wiktionary,738,lexicon,гущыӏэрые,"talkative, a person that tend to talk a lot ; loquacious",adj,гущыӏэрые,accepted
wiktionary-00739,train,true,,wiktionary,739,lexicon,гущыӏэухыгъэ,sentence,noun,гущыӏэухыгъэ | гущыӏэухыгъэхэ | гущыӏэухыгъэм | гущыӏэухыгъэхэм | гущыӏэухыгъэу | гущыӏэухыгъэхэр | гущыӏэухыгъэхэкӏэ | гущыӏэухыгъэхэмэ | гущыӏэухыгъэкӏэ | гущыӏэухыгъэр | гущыӏэухыгъэхыу,accepted
wiktionary-00740,train,true,,wiktionary,740,lexicon,гуӏэн,to worry,verb,гуӏэн | гоӏэн | мэгоӏэн,accepted
wiktionary-00741,train,true,,wiktionary,741,lexicon,гъаблэ,hunger,noun,гъаблэ | гъаблэм | гъаблэхэкӏэ | гъаблэхэм | гъаблэхэр | гъаблэкӏэ | гъаблэхыу | гъаблэхэ | гъаблэу | гъаблэр | гъаблэхэмэ,accepted
wiktionary-00742,train,true,,wiktionary,742,lexicon,гъажъо,millet,noun,гъажъо | гъажъокӏэ | гъажъохэ | гъажъом | гъажъохэм | гъажъоу | гъажъохэкӏэ | гъажъохыу | гъажъохэмэ | гъажъор | гъажъохэр,accepted
wiktionary-00743,train,true,,wiktionary,743,lexicon,гъалэ,paint,noun,гъалэ | гъалэхэм | гъалэм | гъалэр | гъалэхэмэ | гъалэхэкӏэ | гъалэхыу | гъалэкӏэ | гъалэхэ | гъалэхэр | гъалэу,accepted
wiktionary-00744,train,true,,wiktionary,744,lexicon,гъатхэ,spring,noun,гъатхэ | гъатхэр | гъатхэхэ | гъатхэхэр | гъатхэхыу | гъатхэу | гъатхэхэм | гъатхэкӏэ | гъатхэхэмэ | гъатхэм | гъатхэхэкӏэ,accepted
wiktionary-00745,validation,true,,wiktionary,745,lexicon,гъаф,A lesser spotted eagle.,noun,гъаф | гъафэ | гъафэхэкӏэ | гъафэхэмэ | гъафыу | гъафэхыу | гъафэм | гъафэкӏэ | гъафэхэр | гъафэр | гъафэхэ | гъафэхэм,accepted
wiktionary-00746,train,true,,wiktionary,746,lexicon,гъашӏэ,life,noun,гъашӏэ | гъашӏэхэ | гъашӏэхыу | гъашӏэм | гъашӏэкӏэ | гъашӏэу | гъашӏэхэм | гъашӏэхэмэ | гъашӏэр | гъашӏэхэкӏэ | гъашӏэхэр,accepted
wiktionary-00747,excluded_benchmark_overlap,false,exact_normalized_input_target_or_variant_overlap_with_benchmark,wiktionary,747,lexicon,гъо,"time ; (of an animal that has hair) red-haired, red-headed",noun,гъо | гъоуыу | гъохэм | гъохэ | гъоуэм | гъоуэхэмэ | гъом | гъоуэхэр | гъоухыу | гъоуэкӏэ | гъохэр | гъохыу | гъоуэхэм | гъоуэхэ | гъохэкӏэ | гъоуэ | гъоуэр | гъор | гъокӏэ | гъохэмэ | гъоуэхэкӏэ | гъоу,accepted
wiktionary-00748,train,true,,wiktionary,748,lexicon,гъогогъу,fellow traveler ; time; instance,noun,гъогогъу | гъогогъуэхэкӏэ | гъогогъуэм | гъогогъуэхэм | гъогогъуэкӏэ | гъогогъуыу | гъогогъуэ | гъогогъуэхэр | гъогогъуэр | гъогогъуэхэ | гъогогъухыу | гъогогъуэхэмэ,accepted
wiktionary-00749,test,true,,wiktionary,749,lexicon,гъогу,road ; path,noun,гъогу | гъогухыу | гъогуэхэкӏэ | гъогуэхэм | гъогуэм | гъогуэхэ | гъогуэхэр | гъогуэ | гъогуыу | гъогуэкӏэ | гъогуэр | гъогуэхэмэ,accepted
wiktionary-00750,train,true,,wiktionary,750,lexicon,гъогу маф,have a nice day,intj,гъогу маф,accepted
wiktionary-00751,train,true,,wiktionary,751,lexicon,гъогумаф,have a nice day ; have a nice trip,intj,гъогумаф,accepted
wiktionary-00752,train,true,,wiktionary,752,lexicon,гъогуонэкӏуныр,journey,noun,гъогуонэкӏуныр,accepted
wiktionary-00753,validation,true,,wiktionary,753,lexicon,гъогурыгъуазэ,travel guide,noun,гъогурыгъуазэ | гъогурыгъуазэм | гъогурыгъуазэкӏэ | гъогурыгъуазэхэм | гъогурыгъуазэу | гъогурыгъуазэхыу | гъогурыгъуазэр | гъогурыгъуазэхэмэ | гъогурыгъуазэхэ | гъогурыгъуазэхэкӏэ | гъогурыгъуазэхэр,accepted
wiktionary-00754,train,true,,wiktionary,754,lexicon,гъогъон,to thunder (to make a noise like thunder) ; to rattle (to make a rattling noise) ; (Kfar Kama dialect) to bark,verb,гъогъон,accepted
wiktionary-00755,train,true,,wiktionary,755,lexicon,гъогын,"to roar, to growl",noun,гъогын,accepted
wiktionary-00756,excluded_benchmark_overlap,false,exact_normalized_input_target_or_variant_overlap_with_benchmark,wiktionary,756,lexicon,гъожьы,yellow ; yellow color,adj | noun,гъожьы,accepted
wiktionary-00757,train,true,,wiktionary,757,lexicon,гъожьыплъыжь,orange ; orange,adj | noun,гъожьыплъыжь | гъожьыплъыжьхэмэ | гъожьыплъыжьхэм | гъожьыплъыжьхэкӏэ | гъожьыплъыжьр | гъожьыплъыжькӏэ | гъожьыплъыжьу | гъожьыплъыжьхэр | гъожьыплъыжьм | гъожьыплъыжьмкӏэ | гъожьыплъыжьхыу,accepted
wiktionary-00758,train,true,,wiktionary,758,lexicon,гъожьышэплъ,orange ; orange,adj | noun,гъожьышэплъ | гъожьышэплъэ | гъожьышэплъэм | гъожьышэплъэкӏэ | гъожьышэплъыу | гъожьышэплъэхэм | гъожьышэплъэхэмэ | гъожьышэплъэхэкӏэ | гъожьышэплъэхэр | гъожьышэплъэр | гъожьышэплъэхыу | гъожьышэплъэхэ,accepted
wiktionary-00759,train,true,,wiktionary,759,lexicon,гъоз,steam,noun,гъоз,accepted
wiktionary-00760,train,true,,wiktionary,760,lexicon,гъозадж,lost,adj,гъозадж,accepted
wiktionary-00761,excluded_benchmark_overlap,false,exact_normalized_input_target_or_variant_overlap_with_benchmark,wiktionary,761,lexicon,гъозалъ,conscience,verb,гъозалъ,accepted
wiktionary-00762,train,true,,wiktionary,762,lexicon,гъозыпс,soda,noun,гъозыпс,accepted
wiktionary-00763,train,true,,wiktionary,763,lexicon,гъозышъу,misty,adj,гъозышъу,accepted
wiktionary-00764,train,true,,wiktionary,764,lexicon,гъозэн,"to lead, to be the leader (of)",verb,гъозэн,accepted
wiktionary-00765,test,true,,wiktionary,765,lexicon,гъозэнэфы,traffic light,noun,гъозэнэфы,accepted
wiktionary-00766,validation,true,,wiktionary,766,lexicon,гъойщай,lightly ill; lightly sick; unwell,adj,гъойщай,accepted
wiktionary-00767,train,true,,wiktionary,767,lexicon,гъойщэен,to become unwell; to become slightly ill,verb,гъойщэен,accepted
wiktionary-00768,train,true,,wiktionary,768,lexicon,гъолъын,to lie down,verb,гъолъын | мэгъолъын,accepted
wiktionary-00769,train,true,,wiktionary,769,lexicon,гъолъыпӏэ,bed ; bedroom ; couch,noun,гъолъыпӏэ,accepted
wiktionary-00770,train,true,,wiktionary,770,lexicon,гъомыл,food,noun,гъомыл,accepted
wiktionary-00771,train,true,,wiktionary,771,lexicon,гъомылапхъэ,food products ; nutritional material ; foodstuffs,noun,гъомылапхъэ | гъомылапхъэхэм | гъомылапхъэм | гъомылапхъэхэкӏэ | гъомылапхъэхэмэ | гъомылапхъэхэр | гъомылапхъэр | гъомылапхъэхыу | гъомылапхъэкӏэ | гъомылапхъэу | гъомылапхъэхэ,accepted
wiktionary-00772,train,true,,wiktionary,772,lexicon,гъомэ ӏэшӏу,great smell,noun,гъомэ ӏэшӏу,accepted
wiktionary-00773,train,true,,wiktionary,773,lexicon,гъонлагъэ,"skinny, slim (generally beyond what looks beautiful)",adj,гъонлагъэ | гъолагъ | гъолагъэ | гъолагъу,accepted
